,Title,Developer(s),Publisher(s),Regions released,Regions released,Regions released,Ref.
247,Baldies•Baldy LandJP,Creative Edge Software,"BanprestoJP, Phoenix GamesPAL, Bethesda SoftworksNA","November 19, 1998","August 8, 2003","October 3, 2003",
248,Ball Breakers•MohoPAL,Lost Toys,Take-Two Interactive,Unreleased,2000,"July 27, 2000",
249,Ballblazer Champions,Factor 5,"NALucasArts, PALCTO SpA","March 19, 1998",October 1997,"March 10, 1997",
250,Ballerburg Castle Chaos,Ascaron Entertainment,"Mud Duck ProductionsNA, Phoenix GamesPAL",Unreleased,"January 4, 2003","January 4, 2003",
251,Ballistic,Mitchell Corporation,THQ,Unreleased,"October 20, 2000","November 4, 1999",
252,Barbapapa,SunSoft,SunSoft,"October 4, 2001",Unreleased,Unreleased,
253,Barbie: Explorer,Runecraft,Vivendi Universal Games,Unreleased,"April 9, 2001","April 9, 2001",
254,Barbie: Race & Ride,Runecraft,SCEE,Unreleased,"November 9, 1999","November 18, 1999",
255,Barbie Super Sports,Runecraft,SCEE,Unreleased,"April 20, 2000","January 6, 2000",
256,Barbie: Gotta Have Games,Digital Illusions,VU Games,Unreleased,Unreleased,"November 7, 2003",
257,Bardysh: Kromeford no Juunin,Infinity,Imadio,"July 22, 1999",Unreleased,Unreleased,
258,Baroque,Sting Entertainment,Sting Entertainment,"October 28, 1999",Unreleased,Unreleased,
259,Baroque Syndrome,Sting Entertainment,Sting Entertainment,"July 27, 2000",Unreleased,Unreleased,
260,Baseball Navigator,Angel,Angel,"July 31, 1997",Unreleased,Unreleased,
261,Baseball Simulation: ID Pro Yakyuu,Konami,Konami,"January 25, 2001",Unreleased,Unreleased,
262,Bases Loaded '96: Double Header•Moero!! Pro Yakyuu '95: Double HeaderJP,Jaleco Entertainment,Jaleco Entertainment,"November 22, 1995",Unreleased,"December 22, 1995",
263,Bass Fisherman,Sammy Studios,Sammy Studios,"June 11, 1998",Unreleased,Unreleased,
264,Bass Landing,TOSE,"ASCII Entertainment, Agetec Inc.NA","January 14, 1999",Unreleased,"September 29, 1999",
265,Bass Landing 2,TOSE,ASCII Entertainment,"March 20, 2000",Unreleased,Unreleased,
266,Bass Rise,Bandai,Bandai,"March 25, 1999",Unreleased,"September 26, 1999",
267,Bass Tsuri ni Ikou! Let's Go Bassfishing!,Banpresto,Banpresto,"April 22, 1999",Unreleased,Unreleased,
268,Bassing Beat 2,Hearty Robin,Hearty Robin,"August 10, 2000",Unreleased,Unreleased,
269,Bastard!!,Opus,Seta Corporation,"December 28, 1996",Unreleased,Unreleased,
270,Batman & Robin,Probe Entertainment,Acclaim Entertainment,Unreleased,"August 5, 1998","January 7, 1998",
271,Batman Beyond: Return of the JokerNA•Batman of the Future: Return of the JokerPAL,Kemco,Ubisoft,"May 1, 2001","December 15, 2000","November 20, 2000",
272,Batman Forever: The Arcade Game,Iguana Entertainment,Acclaim,"February 14, 1997",December 1996,"December 3, 1996",
273,Batman: Gotham City Racer,Sinister Games,Ubisoft,Unreleased,"May 18, 2001","April 18, 2001",
274,Battle Arena Nitoshinden,Tamsoft,Takara,"September 20, 1996",Unreleased,Unreleased,
275,Battle Arena Toshinden,Tamsoft,SCEA,"January 1, 1995","September 29, 1995","September 9, 1995",
276,Battle Arena Toshinden 2,Tamsoft,Takara and Toshiaki Ota,"December 29, 1995",June 1996,"May 23, 1996",
277,Battle Arena Toshinden 2 Plus,Tamsoft,Takara,"August 9, 1996",Unreleased,Unreleased,
278,Battle Arena Toshinden 3,Tamsoft,Takara,"December 27, 1996",March 1997,"June 26, 1997",
279,Battle Athletess: Daiundoukai Alternative,AIC Spirits,Increment-P,"January 15, 1998",Unreleased,Unreleased,
280,Battle Athletess: Daiundoukai GTO,AIC Spirits,Increment-P,"January 14, 1999",Unreleased,Unreleased,
281,Battle Bugs,Epyx,Sierra Entertainment,"September 18, 1997",Unreleased,Unreleased,
282,Battle Formation,Banpresto,Banpresto,"November 13, 1997",Unreleased,Unreleased,
283,Battle Hunter,Agetec,Tommo,"December 22, 1999","April 12, 2001","June 20, 2001",
284,Battle Konchuuden,Jaleco,Jaleco,"January 21, 1999",Unreleased,Unreleased,
285,Battle Master,Taki,Taki,"January 8, 1998",Unreleased,Unreleased,
286,Battle Qix,Success,Success,"October 24, 2002",Unreleased,Unreleased,
287,BattleSport,Cyclone Studios,The 3DO Company,Unreleased,Unreleased,"June 30, 1997",
288,Battle Stations,Electronic Arts,Realtime Associates,Unreleased,Unreleased,"March 20, 1997",
289,BattleTanx: Global Assault,The 3DO Company,The 3DO Company,Unreleased,"June 30, 2000","March 15, 2000",
290,Bealphareth,Zealsoft,SCEI,"September 28, 2000",Unreleased,Unreleased,
291,Bear in the Big Blue House,DC Studios,Ubisoft,Unreleased,"December 13, 2002","December 12, 2002",
292,Beast Wars: Transformers,Takara,Hasbro Interactive,"March 26, 1998",March 1998,"December 2, 1997",
293,Beatmania,Konami,Konami,"October 1, 1998",Unreleased,Unreleased,
294,Beatmania (Europe),Konami,Konami,Unreleased,June 2000,Unreleased,
295,Beatmania Append 3rd Mix,Konami,Konami,"December 23, 1998",Unreleased,Unreleased,
296,Beatmania Append 3rd Mix Mini,Konami,Konami,"October 29, 1998",Unreleased,Unreleased,
297,Beatmania Append 4th Mix,Konami,Konami,"September 9, 1999",Unreleased,Unreleased,
298,Beatmania Append 5th Mix,Konami,Konami,"March 2, 2000",Unreleased,Unreleased,
299,Beatmania Append Club mix,Konami,Konami,"December 21, 2000",Unreleased,Unreleased,
300,Beatmania Append Gottamix,Konami,Konami,"May 27, 1999",Unreleased,Unreleased,
301,Beatmania Append Gottamix 2 – Going Global,Konami,Konami,"September 7, 2000",Unreleased,Unreleased,
302,Beatmania Append Yebisu Mix,Konami,Konami,"December 9, 1999",Unreleased,Unreleased,
303,Beatmania 6th Mix + Core Mix,Konami,Konami,"March 26, 2002",Unreleased,Unreleased,
304,Beatmania Best Hits,Konami,Konami,"July 27, 2000",Unreleased,Unreleased,
305,Beatmania Featuring Dreams Come True,Konami,Konami,"July 27, 2000",Unreleased,Unreleased,
306,Beatmania – The Sound of Tokyo,Konami,Konami,"March 29, 2001",Unreleased,Unreleased,
307,Beat Planet Music,Opus,SCEI,"January 20, 2000",Unreleased,Unreleased,
308,Beavis and Butt-Head in Virtual Stupidity,ICOM Simulations,Viacom New Media,"January 29, 1998",Unreleased,Unreleased,
309,Bedlam,Mirage Technologies,GT Interactive,Unreleased,"July 4, 1997",Unreleased,
310,Beyblade: Let it Rip!•Bakuten Shoot BeybladeJP,WAVEDGE,"Crave EntertainmentNA, AtariPAL, TakaraJP","December 13, 2001","August 22, 2003","December 4, 2002",
311,Beyond the Beyond,Camelot Software Planning,"SCEI, SCEA","November 3, 1995",Unreleased,"August 31, 1996",
312,Big Air,The Pitbull Syndicate Limited,Accolade,Unreleased,April 1999,"March 1, 1999",
313,Big Bass Fishing,Coresoft,Take 2 Interactive,Unreleased,"April 24, 2002","May 6, 2002",
314,Big Bass World Championship•Super Black Bass XJP,Starfish,Hot-B,"August 7, 1997",Unreleased,"March 15, 1997",
315,Big Challenge Golf: Tokyo Yomiuri Country Club Hen,Vap,Vap,"March 14, 1997",Unreleased,Unreleased,
316,Big League Slugger Baseball,Agetec Inc.,Now Production,Unreleased,Unreleased,"July 8, 2003",
317,Big Ol' Bass 2•Fisherman's Bait 3PAL•Exciting Bass 3JP,Konami Computer Entertainment Nagoya,Konami,"January 25, 2001","March 9, 2001","November 10, 2000",
318,Big Strike Bowling,"CoresoftNA, Gotham GamesPAL",Take 2 Interactive,Unreleased,"April 17, 2003","March 20, 2003",
319,Billiard (Selen),ProSoft,Selen,"July 12, 2001",Unreleased,Unreleased,
320,Bio F.R.E.A.K.S.,Saffire,"Midway GamesNA, GT InteractivePAL",Unreleased,September 1998,"April 15, 1998",
321,Bishi Bashi Special,Konami,Konami,"September 17, 1998",Unreleased,Unreleased,
322,Bishi Bashi Special 2,Konami,Konami,"September 2, 1999","July 7, 2000",Unreleased,
323,Bishi Bashi Special 3: Step Champ,Konami,Konami,"June 29, 2000",Unreleased,Unreleased,
324,Bishoujo Hanafuda Kikou: Michinoku Hitou Koimonogatari,Fog,Fog,"August 7, 1997",Unreleased,Unreleased,
325,Bishoujo Senshi Sailor Moon SuperS Shin Shuyaku Soudatsusen,Angel,Angel,"March 8, 1996",Unreleased,Unreleased,
326,Bishoujo Senshi Sailor Moon World – Chibi Usa to Tanoshii Mainichi,Bandai,Bandai,"November 29, 2001",Unreleased,Unreleased,
327,The Bistro,Syscom,Syscom,"February 17, 2000",Unreleased,Unreleased,
328,Black/Matrix 00,InterChannel,InterChannel,"May 13, 2004",Unreleased,Unreleased,
329,Black/Matrix Cross,Flight-Plan,InterChannel,"December 14, 2000",Unreleased,Unreleased,
330,Black Bass with Blue Marlin,Hot B,Starfish,Unreleased,Unreleased,"November 18, 1999",
331,Black Dawn,Black Ops Entertainment,Virgin Interactive Entertainment,Unreleased,February 1997,"October 24, 1996",
332,Black Jack vs. Matsuda Jun,Pony Canyon,Pony Canyon,"August 10, 2000",Unreleased,Unreleased,
333,Blade,Hammerhead Ltd,Activision,Unreleased,"December 15, 2000","November 28, 2000",
334,Blade Arts,Enix,Enix,"September 28, 2000",Unreleased,Unreleased,
335,BladeMaker,Shoeisha,Shoeisha,"July 1, 1999",Unreleased,Unreleased,
336,Blast Chamber,Attention to Detail,Activision,Unreleased,November 1996,"October 22, 1996",
337,Blast Lacrosse,Sandbox Studios,Acclaim Sports,Unreleased,Unreleased,"May 24, 2001",
338,Blast Radius,Pitbaull Syndicate,Psygnosis,Unreleased,"July 31, 1998","February 24, 1999",
339,Blaster Master: Blasting Again,Sunsoft,Crave Entertainment,"July 31, 2000",Unreleased,"November 28, 2001",
340,Blasto,Sony Interactive Studios America,SCEE,Unreleased,"August 1, 1998","March 31, 1998",
341,Blaze and Blade Busters,GungHo,T&E Soft,"September 23, 1998",Unreleased,Unreleased,
342,Blaze and Blade: Eternal Quest,Technology and Entertainment Software,Funsoft,"January 28, 1998","June 4, 1999",Unreleased,
343,Blazing Dragons,The Illusions Game Company,Crystal Dynamics,Unreleased,November 1996,"October 3, 1996",
344,Blend X Brand,Tonkin House,Tonkin House,"June 29, 2000",Unreleased,Unreleased,
345,"Block Buster•Block Kuzushi 2JP•""Simple 1500 Series Vol. 45: The Block Kuzushi 2""JP",Marvelous,Phoenix Games (video),"February 3, 2000","August 8, 2003",Unreleased,
346,Blockids,MonkeyPaw Games,Athena,"February 23, 1996",Unreleased,"August 4, 2003",
347,Block & Switch,Serene,Serene,"January 24, 2002",Unreleased,Unreleased,
348,Block Kuzushi Kowashite Help!,Now Production,Media Group,"December 7, 2000",Unreleased,Unreleased,
349,Block Kuzushi: Deden no Gyakushuu,Island Creation,Island Creation,"May 31, 1996",Unreleased,Unreleased,
350,Block Wars,Pony Canyon,Pony Canyon,"September 6, 2001",Unreleased,Unreleased,
351,Blood Lines,Radical Entertainment,SCEE,Unreleased,April 1999,Unreleased,
352,Blood Omen: Legacy of Kain,Silicon Knights,Crystal Dynamics,"May 30, 1997",March 1997,"November 14, 1996",
353,Bloody Roar,SCEA,8ing/Raizing,"November 6, 1997",March 1998,"January 2, 1998",
354,Bloody Roar 2,"8ing/Raizing, Hudson Soft",Virgin Interactive Entertainment,"January 28, 1999",July 1999,"January 5, 1999",
355,Blue Breaker: Egao no Yakusoku,Human Entertainment,Human Entertainment,"December 25, 1997",Unreleased,Unreleased,
356,Blue Breaker Burst: Bishou o Anata to,Human Entertainment,Human Entertainment,"July 23, 1998",Unreleased,Unreleased,
357,Blue Breaker Burst: Egao no Asuni,Human Entertainment,Human Entertainment,"September 10, 1998",Unreleased,Unreleased,
358,Blue Forest Monogatari: Kaze no Fuuin,MBA International,Right Stuff,"December 6, 1996",Unreleased,Unreleased,
359,The Blue Marlin,Hot-B,Starfish,"May 2, 2000",Unreleased,Unreleased,
360,Blue's Clues: Blue's Big Musical,Terraglyph Interactive Studios,THQ,Unreleased,Unreleased,"August 24, 2001",
361,Board Game Top Shop,KID,A1 Games,"February 11, 1998",Unreleased,"February 28, 2001",
362,Bob the Builder: Can We Fix It?,THQ,BBC Multimedia,Unreleased,"January 12, 2000","December 1, 2000",
363,Bogey Dead 6,Asmik Ace Entertainment,SCEA,"January 26, 1996",September 1996,"July 8, 1996",
364,Bokan Go Go Go,Banpresto,Banpresto,"February 22, 2001",Unreleased,Unreleased,
365,Boku no Choro-Q,Takara,Takara,"March 7, 2002",Unreleased,Unreleased,
366,Boku no Natsuyasumi,Millennium Kitchen,SCEI,"June 22, 2000",Unreleased,Unreleased,
367,Boku wa Koukuu Kanseikan,Syscom,Syscom,"December 22, 1999",Unreleased,Unreleased,
368,Bokujo Monogatari Harvest Moon For Girls,Victor Interactive Software,Natsume,"December 7, 2000",Unreleased,Unreleased,
369,Bokujyoukeieteki Board Game: Umapoly,Konami,Konami,"December 25, 1999",Unreleased,Unreleased,
370,Bokurato Asobou! Ultraman TV,Bandai,Bandai,"September 21, 2000",Unreleased,Unreleased,
371,Bomb Boat,Success,Success,"August 29, 2002",Unreleased,Unreleased,
372,Bomberman Fantasy Race,Graphic Research Co. Ltd,Virgin Interactive,"August 6, 1998",July 2000,"March 31, 1999",
373,Bomberman Land,Hudson Soft,Hudson Soft,"December 21, 2000",Unreleased,Unreleased,
374,Bomberman Party Edition,Metro,Vatical Entertainment,"December 10, 1998",July 1999,"September 19, 2000",[54]
375,Bomberman Wars,Hudson,Hudson,"April 16, 1998",Unreleased,Unreleased,
376,Bomberman World,Hudson Soft,Atlus,"January 29, 1998",August 1998,"January 30, 1998",
377,The Bombing Islands,Kotobuki Systems,Kemco,"July 18, 1997",1998,"May 2, 2001",
378,Bonogurashi: Kore de Kanpeki Disu,Amuse,Amuse,"June 7, 1996",Unreleased,Unreleased,[55]
379,Boundary Gate: Daughter of Kingdom,Victor Interactive Software,Victor Interactive Software,"July 17, 1997",Unreleased,Unreleased,
380,Bounty Sword First,Pioneer LDC,Pioneer LDC,"June 6, 1997",Unreleased,Unreleased,
381,Bounty Sword: Double Edge,Pioneer LDC,Pioneer LDC,"July 30, 1998",Unreleased,Unreleased,
382,The Book of Watermarks,ARC Entertainment,SCEI,"July 15, 1999",Unreleased,Unreleased,
383,BoomBots,The Neverhood,SouthPeak Games,Unreleased,Unreleased,"January 11, 1999",
384,Bottom of the 9th,Konami,Konami,"October 25, 1996",Unreleased,"April 4, 1996",
385,Bottom of the 9th '97•Jikkyou American BaseballJP,Konami,Konami,"May 14, 1998",Unreleased,"July 10, 1997",
386,Bottom of the 9th '99,Konami,Konami,Unreleased,Unreleased,"August 31, 1998",
387,Bounty Hunter Sara: Holy Mountain no Teiou,Flagship,Capcom,"May 24, 2001",Unreleased,Unreleased,
388,Boxer's Road,New,New,"September 8, 1995",Unreleased,Unreleased,
389,Boys Be... Kono Koi no Yukue,Axes Art Amuse,Kodansha,"March 28, 1997",Unreleased,Unreleased,
390,Boys Be... Second Season,Kodansha,Kodansha,"September 22, 1999",Unreleased,Unreleased,
391,BRAHMA Force: The Assault on Beltlogger 9,Genki,"GenkiJP, JVC Music EuropeEU","November 15, 1996",March 1998,"March 31, 1997",
392,Brain Dead 13,ReadySoft,"ReadySoftNA, Coconuts JapanJP","October 18, 1996",Unreleased,"March 6, 1996",
393,Bratz,"Ubisoft (PAL), D.C. Studios Inc.",Ubisoft,Unreleased,"May 2, 2003","March 13, 2003",
394,Brave Fencer Musashi•Brave Fencer MusashidenJP,Square,Square EA,"July 16, 1998",Unreleased,"January 11, 1998",
395,Brave Prove,DataWest,DataWest,"April 15, 1998",Unreleased,Unreleased,
396,Brave Saga 2,Takara,Takara,"May 2, 2000",Unreleased,Unreleased,
397,Brave Sword,Sammy Studios,Sammy Studios,"October 19, 2000",Unreleased,Unreleased,
398,Bravo Air Race•Recipro Heat 5000JPAir Race PAL,Xing Entertainment,THQ,"July 31, 1997",December 1997,"January 10, 1997",
399,Break Volley•Simple 1500 Series Vol. 54: The Volleyball - Break Volley PlusJP,"Art Co., Ltd.",Aqua Rouge,"November 2, 1999",Unreleased,Unreleased,
400,Breakout,Supersonic Software,Hasbro Interactive (Under the Atari Interactive Label),Unreleased,"October 6, 2000","September 23, 2000",
401,Break Point,Smart Dog,"OceanPAL, KonamiJP","September 18, 1997",December 1996,Unreleased,
402,BreakThru!,Shoeisha,Shoeisha,"December 1, 1995",Unreleased,Unreleased,
403,Breath of Fire III,Capcom,Capcom,"September 11, 1997","October 8, 1998","April 30, 1998",
404,Breath of Fire IV,Capcom,Capcom,"April 27, 2000","August 3, 2001","November 30, 2000",
405,Breed Master,Office Create,Office Create,"April 25, 2002",Unreleased,Unreleased,
406,Breeding Stud: Bokujou de Aimashou,Konami,Konami,"March 27, 1997",Unreleased,Unreleased,
407,Breeding Stud 2,Konami,Konami,"July 30, 1998",Unreleased,Unreleased,
408,Breeding Stud '99,Konami,Konami,"November 11, 1999",Unreleased,Unreleased,
409,"Brian Lara Cricket•Shane Warne CricketAU,NZ",Codemasters,Codemasters,Unreleased,"December 8, 1998PAL,AU,NZ",Unreleased,
410,Brigandine: Legend of Forsena,Hearty Robin,"Hearty RobinJP, AtlusNA","April 2, 1998",Unreleased,"January 11, 1998",
411,Brigandine Grand Edition,Hearty Robin,Hearty Robin,"May 18, 2000",Unreleased,Unreleased,
412,Brightis,Shade,SCEI,"October 14, 1999",Unreleased,Unreleased,
413,Broken Helix,Konami,Konami,"March 26, 1998",February 1998,"May 31, 1997",
414,Broken Sword: The Shadow of the Templars,Revolution Software,THQ,Unreleased,December 1996,"January 31, 1998",
415,Broken Sword II: The Smoking Mirror,Revolution Software,SCEE,Unreleased,"November 14, 1997","November 30, 1999",
416,Brunswick Circuit Pro Bowling,Adrenalin Entertainment,THQ,Unreleased,November 1998,"September 30, 1998",
417,Brunswick Circuit Pro Bowling 2,Adrenalin Entertainment,THQ,Unreleased,March 2000,"February 10, 2000",
418,Bubble Bobble featuring Rainbow Islands,Probe Entertainment,Acclaim,Unreleased,October 1996,"September 6, 1996",
419,Bubsy 3D,Eidetic Inc,Accolade,Unreleased,August 1997,"November 26, 1996",
420,Buckle Up!,Shangri-La,Shangri-La,"January 29, 1998",Unreleased,Unreleased,
421,Bug Riders,GT Interactive,n-Space,Unreleased,Unreleased,"January 11, 1997",
422,A Bug's Life,Traveller's Tales,"SCEANA, SCEEPAL, KonamiJP",February 1999,"October 28, 1998","November 18, 1998",
423,A Bug's Life Activity Centre,Disney Interactive Studios,SCEE,Unreleased,"December 1, 1999",Unreleased,
424,Bugs Bunny: Lost in Time,Behaviour Interactive,Infogrames,Unreleased,"June 29, 1999","June 15, 1999",
425,Bugs Bunny & Taz: Time Busters,Artificial Mind & Movement,Infogrames,Unreleased,"November 24, 2000","December 29, 2000",
426,Builder's Block•Land MakerJP,Taito Corporation,Jaleco,"December 9, 1999","September 30, 2000","December 7, 2000",
427,Building Crush!,Shoeisha,Shoeisha,"October 25, 1999",Unreleased,Unreleased,
428,Burger Burger,Rytmix,Gaps,"November 27, 1997",Unreleased,Unreleased,
429,Burger Burger 2,Biox,Gaps,"July 15, 1999",Unreleased,Unreleased,
430,Burning Road,TokaJP,Funsoft,"January 31, 1997","November 15, 1996","September 30, 1996",
431,Burstrick Wake Boarding!!•Simple 1500 Series Vol. 83: The Wake Board - Burstrick Wake BoardingJP,Metro,"MetroJP, JVC Music EuropePAL, NatsumeNA","July 6, 2000","February 28, 2001","February 28, 2001",
432,Bushido Blade,Square,Sony Computer Entertainment,"March 14, 1997","February 1, 1998","October 1, 1997",
433,Bushido Blade 2,"Square, Light Weight","Square, Square EA","March 19, 1998",Unreleased,"October 1, 1998",
434,Bust a Groove•Bust a MoveJP,Metro Graphics,SCEE,"January 29, 1998","November 25, 1998","November 15, 1998",
435,Bust a Groove 2•Bust a Move 2JP,Metro Graphics,SCEE,"April 15, 1999",Unreleased,"March 31, 1999",
436,Bust-A-Move 2: Arcade Edition•Puzzle Bobble 2JP,Taito,Acclaim,"March 29, 1996",August 1996,June 1996,
437,Bust-A-Move 3 DXPAL•Bust-A-Move '99NA•Puzzle Bobble 3 DXJP,Taito,Acclaim,"November 6, 1997","February 27, 1998","March 1, 1999",
438,Bust-A-Move 4•Puzzle Bobble 4JP•Simple 1500 Series Vol. 93: The Puzzle Bobble - Puzzle Bobble 4JP,Taito,Acclaim,"August 6, 1998","April 15, 1999","October 31, 1998",
439,"Buster Bros. Collection•Super Pang CollectionJP,PAL",Mitchell Corporation,Capcom,"March 14, 1997",June 1998,"May 20, 1997",
440,Butagee de Iin Janai?,Shangri-La,Shangri-La,"February 26, 1998",Unreleased,Unreleased,
441,Buttsubushi,"Phoenix GamesPAL, SelenJP","Phoenix GamesPAL, SelenJP","March 15, 2001","August 13, 2004",Unreleased,
442,Buzz Lightyear of Star Command,Traveller's Tales,Activision,Unreleased,"February 9, 2001","September 26, 2000",
443,C-12: Final Resistance,SCE Studio Cambridge,SCEE,Unreleased,"April 6, 2001","July 22, 2002",
